student_id,first_name,last_name,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25
1,Marinna,Harold,D,B,D,C,D,A,C,C,B,C,B,C,D,C,C,B,B,D,B,D,C,C,B,A,C
2,Jordana,Kamiyama,A,C,A,C,D,B,B,D,C,C,C,B,B,B,B,D,D,B,A,A,A,D,B,D,B
3,Hunt,Drover,A,C,A,A,A,C,A,C,A,B,C,B,B,A,A,C,B,A,B,B,C,D,B,D,D
4,Tailor,Nani,A,A,D,A,C,C,B,D,C,A,A,C,B,A,B,B,D,C,B,D,C,A,A,B,A
5,Marigold,Farens,A,D,B,B,D,D,C,C,D,A,A,A,C,B,B,B,C,D,A,D,D,A,B,D,A
6,Sheila,Christy,C,B,B,B,A,A,D,C,A,A,A,A,B,A,D,C,D,A,C,C,D,C,D,C,B
7,Owen,Labitt,C,C,A,C,B,A,A,A,B,D,A,A,A,D,A,B,C,A,D,A,A,C,B,D,B
8,Adelina,Kiffe,A,B,D,B,C,B,B,A,A,A,C,B,C,A,B,C,C,A,B,A,D,A,B,B,B
9,Maynord,Gledhill,D,A,A,A,A,D,C,D,B,B,D,D,C,B,B,B,A,C,B,A,D,D,A,C,A
10,Rafaellle,Spikins,C,C,D,A,A,D,A,A,B,B,B,D,B,B,C,D,D,C,A,B,D,A,B,C,A
11,Stacy,Keelinge,C,B,B,C,D,A,B,A,A,A,D,A,A,A,B,C,A,A,B,B,C,D,A,D,C
12,Adriana,Fritchly,D,D,C,B,D,B,D,B,D,C,A,B,C,D,A,D,B,D,C,B,D,C,A,B,D
13,Jerrylee,Reder,B,D,A,A,C,B,A,B,A,A,C,B,B,B,B,A,D,C,D,D,C,C,A,B,B
14,Reyna,Aubri,D,C,B,D,D,B,A,C,A,C,C,B,B,B,A,C,C,A,D,B,D,A,C,A,C
15,Jude,Hollow,A,D,C,B,C,D,C,B,A,B,B,B,A,C,A,B,A,D,B,B,A,C,C,C,A
16,Zulema,Skip,D,B,C,D,D,D,D,A,A,A,A,A,B,C,C,A,D,D,B,A,B,A,B,A,C
17,Nola,Clowley,B,B,D,B,A,B,D,A,A,A,A,D,C,B,A,B,B,D,C,D,B,A,C,C,D
18,Elayne,Evins,D,A,A,A,B,B,D,B,A,B,C,B,D,A,A,C,B,B,D,A,A,D,A,B,C
19,Albertine,Autin,A,A,A,C,B,A,C,B,B,B,B,A,A,B,C,C,A,C,B,C,D,D,B,D,C
20,Brinna,Hutten,A,D,C,B,C,C,D,C,D,B,D,C,A,C,C,B,A,B,C,B,B,B,B,B,B
21,Urbain,Dunstan,B,C,D,C,D,B,C,D,D,D,C,C,B,B,B,A,A,B,B,D,D,D,A,C,B
22,Malinde,Fernie,C,B,C,B,C,A,D,B,C,B,C,D,C,A,C,B,B,B,C,B,B,A,B,C,D
23,Ileana,Mantrip,D,A,D,A,A,A,D,A,C,C,C,B,C,C,D,A,A,C,A,C,D,C,C,C,C
24,Haroun,Skein,D,D,A,C,D,A,A,C,A,B,D,C,A,C,C,C,A,D,B,C,D,A,B,B,C
25,Mariel,Rouf,D,C,D,D,C,C,A,A,D,B,A,B,A,D,A,A,A,A,D,D,D,C,B,B,B
26,Burr,Lammin,D,B,C,A,D,D,A,B,A,C,D,C,B,B,C,B,D,B,A,C,D,A,B,D,A
27,Ag,Tetley,B,B,D,D,A,B,D,A,B,C,A,A,C,C,C,D,A,C,A,A,C,D,A,C,A
28,Wendell,Cockran,B,A,B,C,C,C,C,A,B,C,B,A,B,B,D,C,D,D,C,D,B,A,B,A,B
29,Dominique,Pietrzak,C,D,B,D,A,A,A,D,C,A,D,C,D,A,C,C,B,B,A,A,D,B,B,B,C
30,Marcus,Raikes,B,A,D,D,C,D,D,B,C,B,B,B,C,C,D,A,B,D,C,D,B,D,D,A,B
31,Roderich,Goatcher,C,A,D,C,B,D,A,B,B,A,A,C,C,A,A,B,C,C,B,A,C,D,A,B,D
